requested_amount_usd,application_date,request_title,screening_score,debt_to_income_text,region_code,employment_tenure_text,policy_code
7000.0,2008-03-18,A boost to get me back up and running,,-1%,FL,10+ years,0.0
2500.0,2008-03-18,Car emergency expense,451.0,35.4%,FL,2 years,0.0
800.0,2008-03-18,School,573.0,90000%,CA,< 1 year,0.0
22000.0,2008-03-18,Money to finance wedding,,-1%,NH,2 years,0.0
6500.0,2008-03-18,Debt consolidation,534.0,15.27%,CO,< 1 year,0.0
5000.0,2008-03-18,Personal Loan,655.0,7.23%,CA,9 years,0.0
5600.0,2008-03-18,Student Needs Help for Last Year,642.0,16.49%,FL,< 1 year,0.0
5000.0,2008-03-18,Consolidate ,432.0,29.83%,NH,1 year,0.0
8000.0,2008-03-18,IRS Taxes,548.0,12.73%,TX,1 year,0.0
15000.0,2008-03-18,other,668.0,21.83%,TX,< 1 year,0.0
6000.0,2008-03-18,major_purchase,596.0,19.76%,NJ,< 1 year,0.0
7000.0,2008-03-18,debt consolidation,689.0, 28.79% ,GA ,4 years,0.0
7000.0,2008-03-18,saving my mother's home,597.0,11.71%,NE,4 years,0.0
2000.0,2008-03-18,Dell Computer,594.0,14.8%,NJ,2 years,0.0
5100.0,2008-03-18,Consolidate Debt,656.0,7.24%,CT,2 years,0.0
6000.0,2008-03-18,pay off  high interest auto loan,587.0,6.76%,FL,7 years,0.0
8500.0,2008-03-18,Need to Fix Electrical,515.0,7.76%,GA,< 1 year,0.0
5000.0,2008-03-18,Harley Davidson Loan,480.0,12.95%,IA,2 years,0.0
5000.0,2008-03-18,other,600.0, 21.02% ,TX,< 1 year,0.0
8000.0,2008-03-18,Starting a family,734.0,0.97%,AZ,1 year,0.0
25000.0,2008-03-18,Consolidate debt and house fix,449.0,8.22%,MN,< 1 year,0.0
8000.0,2008-03-18,Pay off vehicle and credit card debt,461.0,97.22%,NY,5 years,0.0
6000.0,2008-03-18,"truck,repairs on home and vehicle,taxes",505.0,50.64%,IN,1 year,0.0
25000.0,2008-03-18,Home fix,649.0,0%,MN,< 1 year,0.0
10000.0,2008-03-18,debt_consolidation,,0%,NC,< 1 year,0.0
2500.0,2008-03-18,small loan for fast pay back,,-1%,CA,< 1 year,0.0
5500.0,2008-03-18,other,675.0,4.26%,PA,< 1 year,0.0
4000.0,2008-03-18,College Girl needs help Consolidating,546.0,0%,IN,1 year,0.0
7000.0,2008-03-18,other,649.0,43.76%,FL,< 1 year,0.0
3600.0,2008-03-18,debt_consolidation,611.0,15.94%,TX,< 1 year,0.0
20000.0,2008-03-18,other,692.0,2.31%,CA,< 1 year,0.0
13000.0,2008-03-18,debt_consolidation,727.0,0%,MI,< 1 year,0.0
2500.0,2008-03-18,Credit Correction Loan,542.0,21.73%,NC,3 years,0.0
10000.0,2008-03-18,Refi Hi Int Credit Cards,677.0,34.97%,MD,9 years,0.0
10500.0,2008-03-18,Business,564.0,0%,TX,< 1 year,0.0
8000.0,2008-03-18,Consolidate Debt,679.0,11.98%,FL,3 years,0.0
25000.0,2008-03-18,Pay of Debt and Start Small Business.. ,595.0,20.17%,IL,3 years,0.0
3000.0,2008-03-18,other,647.0,7.19%,WA,< 1 year,0.0
15000.0,2008-03-18,home_improvement,647.0,50.36%,MI,< 1 year,0.0
6300.0,2008-03-18,Need to refinance to stay on top of debt,622.0,32.81%,ND,1 year,0.0
8000.0,2008-03-18,debt_consolidation,638.0,35.69%,TX,< 1 year,0.0
5000.0,2008-03-18,Create cash flow,439.0,4.3%,GA,10+ years,0.0
6900.0,2008-03-18,Getting rid of citifi,651.0,44.18%,MN,1 year,0.0
1000.0,2008-03-18,Looking for a job. Need to pay bills,711.0,4%,CA,1 year,0.0
5000.0,2008-03-18,Home Loan,0.0,0%,OR,2 years,0.0
22000.0,2008-03-18,Startup Plant Prod. business woman owned,418.0,12.4%,LA,1 year,0.0
10000.0,2008-03-18,debt_consolidation,663.0,6.27%,CA,< 1 year,0.0
8000.0,2008-03-18,Various Debt Consolidation,580.0,16.5%,MN,2 years,0.0
8000.0,2008-03-19,consolidate Debt,509.0,8.02%,MN,1 year,0.0
8000.0,2008-03-19,Various Debt Consolidation,503.0,19.93%,MN,< 1 year,0.0
6300.0,2008-03-19,happy single mom !,,-1%,WA,5 years,0.0
2500.0,2008-03-19,Help me start over,459.0,33.36%,VA,4 years,0.0
25000.0,2008-03-19,Consolidate Debt,656.0,10.18%,CT,1 year,0.0
10000.0,2008-03-19,Consolidate debt,668.0,12.29%,UT,1 year,0.0
1000.0,2008-03-19,Clear Debt,682.0,22.49%,FL,10+ years,0.0
5000.0,2008-03-19,Consolidation Loan,468.0,58.24%,TX,5 years,0.0
4000.0,2008-03-19,NEW ROOF,545.0,17.25%,TX,8 years,0.0
15000.0,2008-03-19,time to turn my debt around.,672.0,22.66%,IN,< 1 year,0.0
500.0,2008-03-19,Paying off past rent,492.0,0%,ME,7 years,0.0
2000.0,2008-03-19,Insurance won't cover physical therapy,562.0,20.28%,AR,5 years,0.0
25000.0,2008-03-19,Start-up export business,619.0,0.6%,NM,10+ years,0.0
5000.0,2008-03-19,personal loan,700.0,0.36%,NY,4 years,0.0
5000.0,2008-03-19,Home Fire,517.0,24.93%,TX,2 years,0.0
6500.0,2008-03-19,Aspiring Wedding Planner/Supermom!,568.0,1.54%,TX,7 years,0.0
15000.0,2008-03-19,Planning to be debt free in five years,658.0,6.65%,TN,10+ years,0.0
5000.0,2008-03-19,other,637.0,1.31%,AZ,< 1 year,0.0
16700.0,2008-03-19,Debt consolidation ,659.0,28.14%,MO,10+ years,0.0
7000.0,2008-03-19,debt_consolidation,639.0,6.21%,PA,< 1 year,0.0
16000.0,2008-03-19,debt_consolidation,622.0,6.6%,MD,< 1 year,0.0
5000.0,2008-03-19,Need help to consolidate high Int loans,540.0,12.32%,AZ,6 years,0.0
3500.0,2008-03-19,vacation for a needed veteren,459.0,1%,CA,1 year,0.0
12000.0,2008-03-19,Reduce number of accounts,553.0,10.51%,FL,10+ years,0.0
12500.0,2008-03-19,personal loan,634.0,6.25%,MO,< 1 year,0.0
3000.0,2008-03-19,other,0.0,0%,OH,< 1 year,0.0
9500.0,2008-03-19,personal loan,538.0,27%,MO,3 years,0.0
18500.0,2008-03-19,debt_consolidation,642.0,33.42%,PA,< 1 year,0.0
25000.0,2008-03-19,Shedman,0.0,0%,WI,3 years,0.0
5000.0,2008-03-19,NEED TO RESTART AGAIN AFTER DIVORCE,433.0,14.4%,CA,< 1 year,0.0
500.0,2008-03-19,personal,471.0,0%,IL,< 1 year,0.0
25000.0,2008-03-19,Dire need of a consolidation loan,425.0,0%,OH,< 1 year,0.0
15000.0,2008-03-19,You can't handle the truth!!!,655.0,29.12%,IL,< 1 year,0.0
5000.0,2008-03-19,home_improvement,648.0,10.65%,NY,< 1 year,0.0
20000.0,2008-03-19,debt_consolidation,685.0,13.05%,NC,< 1 year,0.0
5000.0,2008-03-19,Single mom needs help,611.0,20.5%,AL,1 year,0.0
25000.0,2008-03-19,business expansion,731.0,53.23%,OH,< 1 year,0.0
25000.0,2008-03-19,LOAN CONSOLIDATE,553.0,6.25%,CA,2 years,0.0
25000.0,2008-03-19,consolidation,657.0,10.96%,NC,1 year,0.0
10000.0,2008-03-19,Need help fast.,455.0,12.16%,PA,< 1 year,0.0
1000.0,2008-03-19,Amanda's Medicine,538.0,1.85%,CA,< 1 year,0.0
15000.0,2008-03-19,Need $15K to launch new business,552.0,8.64%,CA,8 years,0.0
10000.0,2008-03-19,urgentloan,662.0,1.71%,TX,2 years,0.0
10000.0,2008-03-19,Consolidate debt,485.0,9.87%,OH,< 1 year,0.0
7500.0,2008-03-19,debt_consolidation,636.0,13.48%,CO,< 1 year,0.0
12000.0,2008-03-19,Financial Improvement Loan,596.0,0%,NJ,3 years,0.0
20000.0,2008-03-19,debt_consolidation,648.0,14.92%,PA,< 1 year,0.0
10000.0,2008-03-19,wanting to consolidate bills,,-1%,TN,4 years,0.0
20000.0,2008-03-19,Accessibility loan for home owner w/ MS,673.0,2.68%,CA,8 years,0.0
24000.0,2008-03-19,Auto Loans Consolidation,546.0,9.27%,CO,3 years,0.0
5000.0,2008-03-19,other,,0%,PA,< 1 year,0.0
10500.0,2008-03-19,Consolidate debt,481.0,1.46%,OH,< 1 year,0.0
9500.0,2008-03-19,"Need money, will sing! :)",,-1%,PA,< 1 year,0.0
15000.0,2008-03-19,Pay off college loan,501.0,3.94%,VA,< 1 year,0.0
20000.0,2008-03-19,Refinancing debt and building a business,519.0,43.34%,NV,1 year,0.0
20000.0,2008-03-19,Help get me out of credit card hell,514.0,9.95%,TX,2 years,0.0
5000.0,2008-03-19,Would Like to Consolidate Debt,560.0,33.92%,TX,10+ years,0.0
3500.0,2008-03-19,debt_consolidation,648.0,45.64%,TX,< 1 year,0.0
3500.0,2008-03-19,New Beginning,595.0,0.12%,NV,10+ years,0.0
3000.0,2008-03-19,other,544.0,13.11%,IL,< 1 year,0.0
2000.0,2008-03-19,Bill Consolidation,476.0,7.56%,WI,3 years,0.0
4000.0,2008-03-19,ummmmmmmmmm,621.0,13.35%,FL,1 year,0.0
7500.0,2008-03-19,Refinancing Credit Card,612.0,3.55%,AL,3 years,0.0
4500.0,2008-03-19,pay expenses,550.0,14.27%,OH,3 years,0.0
1000.0,2008-03-19,Loan used to pay my credit card debt,531.0,20.63%,MA,< 1 year,0.0
3000.0,2008-03-19,credit,524.0,622.11%,NJ,1 year,0.0
15000.0,2008-03-19,closing cost on march 27th,438.0,18.27%,FL,< 1 year,0.0
5500.0,2008-03-19,personal loan,675.0,3.97%,PA,2 years,0.0
20000.0,2008-03-19,Need to lower Interest Rate,635.0,13.11%,CA,3 years,0.0
23500.0,2008-03-19,affordable workforce housing venture,805.0,3943.2%,GA,< 1 year,0.0
10000.0,2008-03-19,Help need to consolidate fast!!!,588.0,47.92%,CA,1 year,0.0
25000.0,2008-03-19,Fund Apriority LLC Framework Site Launch,775.0,0%,NY,6 years,0.0
15000.0,2008-03-19,debt_consolidation,643.0,19.92%,NC,< 1 year,0.0
10000.0,2008-03-19,Capital for startup Real Estate Firm ,660.0,47.88%,AR,10+ years,0.0
20000.0,2008-03-19,debt_consolidation,637.0,4.32%,NY,< 1 year,0.0
15000.0,2008-03-19,debt_consolidation,657.0,26.11%,OH,< 1 year,0.0
22000.0,2008-03-19,debt_consolidation,641.0,60.03%,NV,< 1 year,0.0
10000.0,2008-03-19,Biodiesel Loan,620.0,20.82%,TX,8 years,0.0
25000.0,2008-03-19,Credit Cards Payment,703.0,32.46%,FL,< 1 year,0.0
8000.0,2008-03-19,Recent college grad.,504.0,15.53%,OH,< 1 year,0.0
21500.0,2008-03-19,Residential lot development,768.0,30.16%,WA,2 years,0.0
15000.0,2008-03-19,debt_consolidation,702.0,27.35%,GA,< 1 year,0.0
2000.0,2008-03-19,Desperately Needed Loan,534.0,0%,DE,< 1 year,0.0
12000.0,2008-03-19,debt_consolidation,714.0,7.92%,NC,< 1 year,0.0
3000.0,2008-03-19,other,639.0,0%,GA,< 1 year,0.0
5000.0,2008-03-19,New Roof,407.0,37.73%,NC,3 years,0.0
5000.0,2008-03-19,"Credit Card, Tuition, and Auto Repair ",663.0,0.4%,TX,8 years,0.0
4000.0,2008-03-19,PAY IRS,412.0,346.89%,GA,3 years,0.0
22543.0,2008-03-19,debt_consolidation,706.0,30.54%,NE,< 1 year,0.0
4500.0,2008-03-19,middle age crisis,595.0,1.47%,AL,2 years,0.0
20000.0,2008-03-19,debt_consolidation,,0%,AZ,< 1 year,0.0
25000.0,2008-03-19,Credit Card Consolidation ,548.0,22.26%,MD,1 year,0.0
10000.0,2008-03-19,other,716.0,0.14%,NY,< 1 year,0.0
500.0,2008-03-19,HELP,532.0,0%,MD,< 1 year,0.0
5000.0,2008-03-19,Want to Start Over.,444.0,3.24%,AZ,< 1 year,0.0
25000.0,2008-03-19,Need capital for business contracts ,709.0,34.25%,CA,4 years,0.0
6000.0,2008-03-19,badly needed project,,-1%,CA,10+ years,0.0
20000.0,2008-03-19,Consolidate and Payoff Credit Cards,695.0,9.2%,OR,4 years,0.0
9500.0,2008-03-19,Insurance loan,556.0, 28.91% ,CA ,2 years,0.0
25000.0,2008-03-19,expanding business,,-1%,NC,7 years,0.0
2500.0,2008-03-19,Rescue Horses need emergency feed/hay,441.0,28.82%,NE,5 years,0.0
6000.0,2008-03-20,debt_consolidation,629.0,24.3%,PA,< 1 year,0.0
1000.0,2008-03-20,Need money to finance business,600.0,17.6%,IL,< 1 year,0.0
15000.0,2008-03-20,debt_consolidation,0.0,0%,SC,< 1 year,0.0
5000.0,2008-03-20,Help needed,468.0,159.53%,GA,1 year,0.0
2500.0,2008-03-20,Debt and tuition ,596.0,16.01%,OH,7 years,0.0
3000.0,2008-03-20,Bill Consolidation,720.0,37.05%,VA,10+ years,0.0
7000.0,2008-03-20,One Monthly Payment,417.0,4.16%,IN,1 year,0.0
7000.0,2008-03-20,Consolidate Debt and home Imp. loan,511.0,32.03%,OH,1 year,0.0
5000.0,2008-03-20,Fixing a leaky roof,611.0,5.86%,IL,4 years,0.0
15000.0,2008-03-20,Please help payoff debt ,618.0,41.31%,TX,10+ years,0.0
5000.0,2008-03-20,College Tonsilitis,499.0,14.36%,IN,< 1 year,0.0
15000.0,2008-03-20,Payoff debt for new home,609.0,30.08%,TX,10+ years,0.0
3000.0,2008-03-20,Debt Pay Off,558.0,6.36%,MA,< 1 year,0.0
3000.0,2008-03-20,Paying off credit cards,,-1%,MS,< 1 year,0.0
15000.0,2008-03-20,Starting a New Business,,-1%,WA,5 years,0.0
10000.0,2008-03-20,clean sweep,678.0,15.24%,CA,10+ years,0.0
2000.0,2008-03-20,Paying off Credit Card,622.0,22.74%,MA,2 years,0.0
3000.0,2008-03-20,major_purchase,627.0,9.8%,MA,< 1 year,0.0
25000.0,2008-03-20,Our down payment,,-1%,NY,3 years,0.0
5000.0,2008-03-20,Credit card debt,606.0,18.17%,FL,10+ years,0.0
7500.0,2008-03-20,Payoff credit cards,619.0,11.11%,TX,4 years,0.0
3500.0,2008-03-20,Futher Schooling,618.0,6.94%,FL,3 years,0.0
2350.0,2008-03-20,Consolidate,,-1%,TX,< 1 year,0.0
4000.0,2008-03-20,personal loan,,-1%,TX,< 1 year,0.0
5000.0,2008-03-20,Single mom in bad situation,437.0,19.19%,PA,< 1 year,0.0
10000.0,2008-03-20,bill payoff /extra cash,599.0,22.16%,NY,1 year,0.0
19000.0,2008-03-20,debt_consolidation,642.0,47.94%,TX,< 1 year,0.0
11000.0,2008-03-20,debt_consolidation,638.0,27.13%,TX,< 1 year,0.0
12000.0,2008-03-20,Working Capital - Growing Consulting Biz,628.0,25.27%,IL,< 1 year,0.0
10000.0,2008-03-20,Consolidating High Interest CCs and Loan,683.0,15.4%,IL,6 years,0.0
14000.0,2008-03-20,Credit card consolidation,629.0,22.32%,MI,4 years,0.0
19000.0,2008-03-20,debt_consolidation,735.0,31.37%,FL,< 1 year,0.0
5000.0,2008-03-20,Wedding Woes,495.0,0%,SC,< 1 year,0.0
8500.0,2008-03-20,Pay off my current debts,537.0,15.22%,CA,3 years,0.0
3000.0,2008-03-20,1 loan 4 debt 1 bill to pay!!,455.0, 0% ,MO ,4 years,0.0
5000.0,2008-03-20,Refinance Credit Cards,533.0,17.66%,NV,2 years,0.0
9000.0,2008-03-20,Pay off personal loans/credit cards,678.0,14.93%,NH,3 years,0.0
3000.0,2008-03-20,Businees Expenses,615.0,12.52%,FL,6 years,0.0
10000.0,2008-03-20,Trying to refi some credit card debt.,474.0,11.63%,IL,< 1 year,0.0
19500.0,2008-03-20,debt_consolidation,681.0,1.81%,OR,< 1 year,0.0
25000.0,2008-03-20,Building a Garage,611.0,19.48%,KS,6 years,0.0
12000.0,2008-03-20,Home Modification for owner w/ MS,673.0,1.78%,CA,< 1 year,0.0
6000.0,2008-03-20,major_purchase,642.0,29.28%,FL,< 1 year,0.0
1200.0,2008-03-20,My New Mac,592.0,29.72%,KY,< 1 year,0.0
15000.0,2008-03-20,Family Debt Consolidatation,609.0,42.05%,OK,1 year,0.0
7000.0,2008-03-20,Getting Myself out of Credit Card Debt,677.0,40.83%,HI,8 years,0.0
7000.0,2008-03-20,Debt consolidation,598.0,11.21%,NM,1 year,0.0
5000.0,2008-03-20,real estate rehab loan,656.0,0.96%,MI,8 years,0.0
2000.0,2008-03-20,Car Accident - Need Repaired,484.0,1.16%,GA,< 1 year,0.0
12000.0,2008-03-20,Purchase a Vehicle,399.0,14.94%,TX,4 years,0.0
3000.0,2008-03-20,Brand New Apt,,0.17%,DC,1 year,0.0
18000.0,2008-03-20,Bussiness,470.0,33.84%,MO,3 years,0.0
25000.0,2008-03-20,bussiness  ,662.0,13.44%,FL,1 year,0.0
15000.0,2008-03-20,Local online video advertising,500.0,7.38%,CA,< 1 year,0.0
3000.0,2008-03-20,Money for finishing School,498.0,6.11%,GA,5 years,0.0
10000.0,2008-03-20,Medical expnses,684.0,6.89%,MN,7 years,0.0
15000.0,2008-03-20,other,670.0,4.58%,MA,< 1 year,0.0
15000.0,2008-03-20,auto loan,616.0,0%,CA,1 year,0.0
13800.0,2008-03-20,Road to Debt Free 33,665.0,22.78%,PA,2 years,0.0
12000.0,2008-03-20,Need money to pay off a 401K loan ASAP!!,474.0,53.52%,IL,10+ years,0.0
1500.0,2008-03-20,Dream come true to see my Mom,383.0,45%,MO,1 year,0.0
12000.0,2008-03-20,Need to pay off a 401K loan asap!!,534.0,23.25%,IL,10+ years,0.0
15000.0,2008-03-20,Get rid of Debt,623.0, 70.14% ,MI ,< 1 year,0.0
25000.0,2008-03-20,Finish apartment Renovation,624.0,17.45%,NJ,10+ years,0.0
3000.0,2008-03-20,dream come true for my wife,,-1%,MO,1 year,0.0
15000.0,2008-03-20,debt_consolidation,639.0,21.58%,NJ,< 1 year,0.0
3000.0,2008-03-20,Personal Loan,442.0,68.18%,FL,< 1 year,0.0
25000.0,2008-03-20,debt loan,694.0,19.48%,WI,10+ years,0.0
15000.0,2008-03-20,debt consolidation loan,,-1%,IA,1 year,0.0
6000.0,2008-03-20,Identity theft recovery,440.0,1.06%,RI,2 years,0.0
12000.0,2008-03-20,debt_consolidation,759.0,30.07%,TN,< 1 year,0.0
5000.0,2008-03-20,other,600.0,21.02%,TX,< 1 year,0.0
3500.0,2008-03-20,Debt,637.0,13.2%,NJ,2 years,0.0
15000.0,2008-03-20,Consolidating debt to lower interest,713.0,27.99%,OH,4 years,0.0
5100.0,2008-03-20,Seeking a nest egg for savings,670.0,0%,VA,< 1 year,0.0
15000.0,2008-03-20,other,656.0,41.1%,CT,< 1 year,0.0
20000.0,2008-03-20,christina conigliaro,523.0,4.46%,NJ,6 years,0.0
5000.0,2008-03-20,debt consolidation,465.0,0%,FL,3 years,0.0
5000.0,2008-03-20,PAY OFF DEBT,442.0,22.91%,OH,1 year,0.0
6000.0,2008-03-20,Mary Kay,469.0,9.84%,NV,6 years,0.0
22000.0,2008-03-20,debt_consolidation,673.0,25.86%,CT,< 1 year,0.0
15000.0,2008-03-20,Erin's Debt Consolidation,640.0,59.72%,NY,1 year,0.0
14000.0,2008-03-20,debt_consolidation,,0%,GA,< 1 year,0.0
25000.0,2008-03-20,Diane's Loan ,547.0,6.55%,MA,< 1 year,0.0
5000.0,2008-03-20,Would like to pay off a personal debt,589.0,24.95%,OR,< 1 year,0.0
25000.0,2008-03-20,business,544.0,25.71%,TX,2 years,0.0
6000.0,2008-03-20,Moving out on a bad relationship,634.0,10.41%,IL,5 years,0.0
15000.0,2008-03-20,Giant payday loan,,-1%,NY,5 years,0.0
1500.0,2008-03-20,home project,430.0,17.9%,CA,5 years,0.0
2500.0,2008-03-20,Upcoming Move,663.0,657.6%,IL,< 1 year,0.0
5000.0,2008-03-20,debt_consolidation,,0%,CA,< 1 year,0.0
5000.0,2008-03-20,home_improvement,604.0,9999%,NY,< 1 year,0.0
25000.0,2008-03-20,"Stock Trader Need $25,000 ",596.0,1.5%,IL,< 1 year,0.0
13000.0,2008-03-20,Fireplaces for condo project,700.0,20.67%,WA,10+ years,0.0
24000.0,2008-03-20,I want to studied CRIMINAL/CIVIL JUSTICE,0.0,0.63%,CA,2 years,0.0
3500.0,2008-03-20,Need to Pay Taxes,649.0,40.43%,CA,1 year,0.0
25000.0,2008-03-20,www.MasterRealEstatePlan.com,539.0,0%,CA,< 1 year,0.0
17000.0,2008-03-21,debt_consolidation,677.0,26.5%,OH,< 1 year,0.0
19000.0,2008-03-21,Business Expansion,562.0,0.35%,CA,4 years,0.0
19900.0,2008-03-21,debt_consolidation,672.0,25.12%,MN,< 1 year,0.0
25000.0,2008-03-21,Consolidation,650.0,28.66%,WV,1 year,0.0
10000.0,2008-03-21,Bill Pay Off,568.0,15.46%,MD,< 1 year,0.0
4750.0,2008-03-21,car loan,494.0,31.17%,MD,9 years,0.0
5000.0,2008-03-21,Motorcycle Purchase,722.0,7.5%,FL,< 1 year,0.0
20000.0,2008-03-21,Business development funding,532.0,36.68%,CA,7 years,0.0
15000.0,2008-03-21,better rate,643.0,39.57%,AZ,< 1 year,0.0
2000.0,2008-03-21,major_purchase,736.0,34%,GA,< 1 year,0.0
10000.0,2008-03-21,Credit Cards,514.0,33.48%,VA,3 years,0.0
17000.0,2008-03-21,Help Get Me Out Of Credit Card Debt,658.0,24.15%,TX,4 years,0.0
7500.0,2008-03-21,Baby on the way!,499.0,17.76%,SC,8 years,0.0
15000.0,2008-03-21,rebuiling my credit to purchase a home,600.0,5.76%,IL,< 1 year,0.0
10000.0,2008-03-21,Paying off debt,,-1%,PA,< 1 year,0.0
3000.0,2008-03-21,paying off medical procedure,,-1%,CA,7 years,0.0
10000.0,2008-03-21,other,0.0,0%,NY,< 1 year,0.0
10000.0,2008-03-21,CLOSING COST FOR MY HOME,400.0,0.25%,PA,10+ years,0.0
4500.0,2008-03-21,Single Mom Needing Reliable Vehicle,480.0,13.51%,TX,1 year,0.0
3000.0,2008-03-21,A loan for just about everything.,0.0,0%,IL,< 1 year,0.0
5000.0,2008-03-21,School Loan,695.0,7.32%,FL,< 1 year,0.0
1600.0,2008-03-21,need to refinance my 29.99% DELL account,597.0,19.79%,CO,8 years,0.0
15000.0,2008-03-21,Payoff Credit Cards,646.0,31.22%,KS,10+ years,0.0
25000.0,2008-03-21,Consolidating Debt,458.0,25.8%,CA,1 year,0.0
5000.0,2008-03-21,personal,459.0,2.79%,NY,6 years,0.0
5000.0,2008-03-21,debt recovery,497.0,25.92%,MO,2 years,0.0
15000.0,2008-03-21,Personal,697.0,5.67%,TX,4 years,0.0
2500.0,2008-03-21,other,670.0,40.63%,NY,< 1 year,0.0
1500.0,2008-03-21,To purchase a car,507.0,14.31%,CA,1 year,0.0
1000.0,2008-03-21,vehicle,544.0, 0.75% ,MO,< 1 year,0.0
25000.0,2008-03-21,Small Business Investment Bolstering,538.0,2.4%,TX,1 year,0.0
12000.0,2008-03-21,Consolidate Debt,672.0,34.64%,AZ,1 year,0.0
5000.0,2008-03-21,Help Daughter Set Up,547.0,26.24%,IL,3 years,0.0
20000.0,2008-03-21,Please Help!,509.0,14.6%,TX,8 years,0.0
5575.0,2008-03-21,Credit cards at a better rate,675.0,28.75%,IN,< 1 year,0.0
6000.0,2008-03-21,major_purchase,694.0,2.97%,NM,< 1 year,0.0
5000.0,2008-03-21,debt_consolidation,634.0,12.14%,RI,< 1 year,0.0
19000.0,2008-03-21,other,748.0,37.7%,VA,< 1 year,0.0
12000.0,2008-03-21,High-interest Payoff,687.0,25.72%,MD,1 year,0.0
9875.0,2008-03-21,Debt Consolidation Loan,751.0,10.78%,VA,4 years,0.0
12500.0,2008-03-21,Getting by to the end,516.0,9.46%,NC,2 years,0.0
12000.0,2008-03-21,debt_consolidation,647.0,10.28%,CA,< 1 year,0.0
3000.0,2008-03-21,Sale Of Song Copyright,656.0,48.44%,TN,10+ years,0.0
10000.0,2008-03-21,other,649.0,31.68%,FL,< 1 year,0.0
5000.0,2008-03-21,Please Help.,509.0,2.73%,MO,< 1 year,0.0
1500.0,2008-03-21,torisam,660.0,33.4%,CA,1 year,0.0
6000.0,2008-03-21,tummytuck,449.0,0%,VA,4 years,0.0
15000.0,2008-03-21,debt_consolidation,700.0,163.32%,MA,< 1 year,0.0
5000.0,2008-03-21,Consolidate Debt,481.0,14.63%,TX,< 1 year,0.0
3500.0,2008-03-21,Clean Slate,632.0,19.75%,MA,1 year,0.0
1000.0,2008-03-21,Major car repair,515.0,0%,CA,10+ years,0.0
8000.0,2008-03-21,Refinance Credit Cards,715.0,3453.79%,PA,< 1 year,0.0
1200.0,2008-03-21,Consolidating debt,737.0,12%,NY,< 1 year,0.0
2500.0,2008-03-21,One payment to you.,,-1%,GA,< 1 year,0.0
7500.0,2008-03-21,other,645.0,9.37%,CA,< 1 year,0.0
2000.0,2008-03-21,Credit Cards = Bad,617.0,6.44%,CA,3 years,0.0
3500.0,2008-03-21,pay off back bills,477.0,45.79%,NY,1 year,0.0
14000.0,2008-03-21,debt_consolidation,713.0,0.72%,VA,< 1 year,0.0
2000.0,2008-03-21,Money to get back to college,507.0,11.49%,MI,< 1 year,0.0
4000.0,2008-03-21,Debt Consolidation,555.0,35.73%,MA,1 year,0.0
25000.0,2008-03-21,Debt Consolidation,689.0,12.68%,NM,< 1 year,0.0
1000.0,2008-03-21,need to pay for school,543.0,7.56%,NY,2 years,0.0
5000.0,2008-03-21,medical bills,499.0,46.42%,HI,5 years,0.0
10000.0,2008-03-21,one bill,502.0,9.95%,CT,10+ years,0.0
10000.0,2008-03-21,Debt consolidation,558.0,19.3%,CT,1 year,0.0
5000.0,2008-03-21,phils loan,573.0,2.18%,FL,3 years,0.0
6000.0,2008-03-21,Loan Consolidate Bon,591.0,6.63%,CA,< 1 year,0.0
25000.0,2008-03-21,Credit Card Loan,551.0,21.37%,TX,1 year,0.0
2000.0,2008-03-21,High Interest Rate Bills Need Paid Off,533.0,33.92%,IN,< 1 year,0.0
20000.0,2008-03-21,CC Consolidation,593.0,56.4%,AR,1 year,0.0
10000.0,2008-03-21,Consolidate Bill Payments,0.0,0%,MA,< 1 year,0.0
5000.0,2008-03-21,Debt Consolidation,484.0,34.98%,MN,9 years,0.0
10000.0,2008-03-21,"Moving out, First place",482.0,0.89%,MA,< 1 year,0.0
5000.0,2008-03-21,Consolidate debt,490.0,19.1%,OH,10+ years,0.0
10500.0,2008-03-21,scmelo15,654.0,21.63%,OH,10+ years,0.0
1800.0,2008-03-21,TRACY'S BOOKS,0.0,0%,IN,10+ years,0.0
5500.0,2008-03-21,New(er) car,534.0,0%,WI,< 1 year,0.0
20000.0,2008-03-21,PAY OFF CREDIT CARDS ,489.0,13.47%,DE,10+ years,0.0
500.0,2008-03-21,need money for dentures,503.0,2.85%,TX,1 year,0.0
1000.0,2008-03-21,Help,486.0,794.4%,MI,< 1 year,0.0
15000.0,2008-03-21,Payoff high rate line of credit,663.0,31.58%,PA,3 years,0.0
16000.0,2008-03-21,Reduce bills,572.0,15.18%,NY,10+ years,0.0
10000.0,2008-03-21,all in one,544.0,8.38%,MT,1 year,0.0
7000.0,2008-03-21,Paying off old debt.,618.0,14.4%,GA,10+ years,0.0
1000.0,2008-03-21,A New Start,446.0,4.77%,NC,3 years,0.0
4900.0,2008-03-21,pay off loan,603.0,35.17%,NY,7 years,0.0
5000.0,2008-03-21,Debt Payoff,436.0,55.51%,NY,< 1 year,0.0
1000.0,2008-03-21,extra needed money,454.0,0%,PA,< 1 year,0.0
22000.0,2008-03-21,lower payments,645.0,23.12%,PA,4 years,0.0
625.0,2008-03-21,Navy Fed CC,564.0,4.2%,CT,2 years,0.0
15000.0,2008-03-21,Personal Debt Consolidation,479.0,61.78%,SD,3 years,0.0
